uniqueID,site,date,timeEST,flowSensor,precipETI
STA/22_20151216_0950,STA/22,12/16/15,9:50,,17.5
STA/22_20151221_0830,STA/22,12/21/15,8:30,,19.4
STA/22_20151228_0800,STA/22,12/28/15,8:00,,46.7
STA/22_20160104_0830,STA/22,1/4/16,8:30,,-3
STA/22_20160111_0845,STA/22,1/11/16,8:45,,27.9
STA/22_20160119_0900,STA/22,1/19/16,9:00,,12.2
STA/22_20160125_0900,STA/22,1/25/16,9:00,,0
STA/22_20160201_0930,STA/22,2/1/16,9:30,,0.5
STA/22_20160208_0900,STA/22,2/8/16,9:00,,29.2
STA/22_20160215_0915,STA/22,2/15/16,9:15,,5.8
STA/22_20160222_0750,STA/22,2/22/16,7:50,,56.9
STA/22_20160229_0835,STA/22,2/29/16,8:35,,60.5
STA/22_20160307_0840,STA/22,3/7/16,8:40,,22.9
STA/22_20160314_0740,STA/22,3/14/16,7:40,,26.2
STA/22_20160322_0800,STA/22,3/22/16,8:00,,16.8
STA/22_20160330_0730,STA/22,3/30/16,7:30,,29.5
STA/22_20160405_1040,STA/22,4/5/16,10:40,,9.1
STA/22_20160413_1000,STA/22,4/13/16,10:00,,41.9
STA/22_20160418_1100,STA/22,4/18/16,11:00,,0
STA/22_20160425_0820,STA/22,4/25/16,8:20,,4.3
STA/22_20160503_0730,STA/22,5/3/16,7:30,,46
STA/22_20160509_0800,STA/22,5/9/16,8:00,,12.4
STA/22_20160516_0745,STA/22,5/16/16,7:45,,26.7
STA/22_20160523_0810,STA/22,5/23/16,8:10,,5.3
STA/22_20160531_0805,STA/22,5/31/16,8:05,,6.6
STA/22_20160606_0745,STA/22,6/6/16,7:45,,63.8
STA/22_20160613_0830,STA/22,6/13/16,8:30,,4.8
STA/22_20160620_0805,STA/22,6/20/16,8:05,,5.6
STA/22_20160627_0830,STA/22,6/27/16,8:30,,8.4
STA/22_20160705_0745,STA/22,7/5/16,7:45,,57.9
STA/22_20160711_0815,STA/22,7/11/16,8:15,,21.1
STA/22_20160717_1145,STA/22,7/17/16,11:45,,21.6
STA/22_20160725_0810,STA/22,7/25/16,8:10,,22.1
STA/22_20160801_0820,STA/22,8/1/16,8:20,,0
STA/22_20160808_0730,STA/22,8/8/16,7:30,,4.8
STA/22_20160815_0810,STA/22,8/15/16,8:10,,78.2
STA/22_20160822_1140,STA/22,8/22/16,11:40,,35.6
STA/22_20160829_0830,STA/22,8/29/16,8:30,,9.9
STA/22_20160906_0755,STA/22,9/6/16,7:55,,0
STA/22_20160912_0830,STA/22,9/12/16,8:30,,15
STA/22_20160920_0730,STA/22,9/20/16,7:30,,11.9
STA/22_20160927_0830,STA/22,9/27/16,8:30,,13
STA/22_20161003_0830,STA/22,10/3/16,8:30,,1
STA/22_20161011_0755,STA/22,10/11/16,7:55,,4.6
STA/22_20161017_0745,STA/22,10/17/16,7:45,,7.9
STA/22_20161024_1100,STA/22,10/24/16,11:00,,30.5
STA/22_20161031_1220,STA/22,10/31/16,12:20,,49.3
STA/22_20161107_1020,STA/22,11/7/16,10:20,,24.4
STA/22_20161114_0915,STA/22,11/14/16,9:15,,1.8
STA/22_20161121_0900,STA/22,11/21/16,9:00,,14.5
STA/22_20161128_0900,STA/22,11/28/16,9:00,,12.7
STA/22_20161205_0930,STA/22,12/5/16,9:30,,55.9
STA/22_20161212_1435,STA/22,12/12/16,14:35,,28.4
STA/22_20161219_0840,STA/22,12/19/16,8:40,,33.3
STA/22_20161227_1330,STA/22,12/27/16,13:30,,15.7
STA/22_20170102_1335,STA/22,1/2/17,13:35,,19.1
STA/22_20170109_0920,STA/22,1/9/17,9:20,,14.2
STA/22_20170117_1420,STA/22,1/17/17,14:20,,18.3
STA/22_20170123_0910,STA/22,1/23/17,9:10,,7.9
STA/22_20170130_1130,STA/22,1/30/17,11:30,,18
STA/22_20170206_0925,STA/22,2/6/17,9:25,,3.8
STA/22_20170214_0915,STA/22,2/14/17,9:15,,64.5
STA/22_20170221_1035,STA/22,2/21/17,10:35,,21.6
STA/22_20170228_1315,STA/22,2/28/17,13:15,,16.3
STA/22_20170306_0830,STA/22,3/6/17,8:30,,19.8
STA/22_20170313_0945,STA/22,3/13/17,9:45,,10.4
STA/22_20170320_1220,STA/22,3/20/17,12:20,,24.9
STA/22_20170328_1105,STA/22,3/28/17,11:05,,38.1
STA/22_20170403_1215,STA/22,4/3/17,12:15,,38.6
STA/22_20170410_0900,STA/22,4/10/17,9:00,,33.8
STA/22_20170417_0810,STA/22,4/17/17,8:10,,16.3
STA/22_20170424_0920,STA/22,4/24/17,9:20,,21.3
STA/22_20170501_0730,STA/22,5/1/17,7:30,,16.3
STA/22_20170508_0740,STA/22,5/8/17,7:40,,42.7
STA/22_20170515_1140,STA/22,5/15/17,11:40,,39.9
STA/22_20170523_0850,STA/22,5/23/17,8:50,,16.3
STA/22_20170530_1030,STA/22,5/30/17,10:30,,33.8
RG23_20140602_1150,RG23,6/2/14,11:50,,14.5
RG23_20140609_0855,RG23,6/9/14,8:55,,0
RG23_20140616_0910,RG23,6/16/14,9:10,,58.9
RG23_20140623_1010,RG23,6/23/14,10:10,,6.9
RG23_20140630_0910,RG23,6/30/14,9:10,,133.1
RG23_20140707_0825,RG23,7/7/14,8:25,,25.9
RG23_20140714_0840,RG23,7/14/14,8:40,,36.8
RG23_20140721_0815,RG23,7/21/14,8:15,,21.8
RG23_20140729_0805,RG23,7/29/14,8:05,,98.8
RG23_20140804_0900,RG23,8/4/14,9:00,,0
RG23_20140811_0825,RG23,8/11/14,8:25,,2.8
RG23_20140818_1030,RG23,8/18/14,10:30,,98
RG23_20140825_0915,RG23,8/25/14,9:15,,8.1
RG23_20140901_0945,RG23,9/1/14,9:45,,6.1
RG23_20140908_0945,RG23,9/8/14,9:45,,29
RG23_20140915_1115,RG23,9/15/14,11:15,,15.7
RG23_20140922_1115,RG23,9/22/14,11:15,,7.1
RG23_20140929_1030,RG23,9/29/14,10:30,,0
RG23_20141006_1010,RG23,10/6/14,10:10,,39.6
RG23_20141013_1010,RG23,10/13/14,10:10,,49.8
RG23_20141020_0930,RG23,10/20/14,9:30,,119.6
RG23_20141027_0820,RG23,10/27/14,8:20,,20.8
RG23_20141103_0925,RG23,11/3/14,9:25,,6.4
RG23_20141110_1015,RG23,11/10/14,10:15,,8.3
RG23_20141118_0915,RG23,11/18/14,9:15,,27.2
RG23_20141125_0955,RG23,11/25/14,9:55,,31.5
RG23_20141201_1105,RG23,12/1/14,11:05,,25.9
RG23_20141208_1420,RG23,12/8/14,14:20,,50.3
RG23_20141215_1025,RG23,12/15/14,10:25,,32
RG23_20141222_1155,RG23,12/22/14,11:55,,19.6
RG23_20141229_1125,RG23,12/29/14,11:25,,54.6
RG23_20150105_1140,RG23,1/5/15,11:40,,34.3
RG23_20150112_0955,RG23,1/12/15,9:55,,3.6
RG23_20150120_1105,RG23,1/20/15,11:05,,34.3
RG23_20150126_0850,RG23,1/26/15,8:50,,1
RG23_20150203_1400,RG23,2/3/15,14:00,,25.9
RG23_20150210_1340,RG23,2/10/15,13:40,,24.4
RG23_20150217_1240,RG23,2/17/15,12:40,,9.1
RG23_20150223_1020,RG23,2/23/15,10:20,,18.3
RG23_20150302_1035,RG23,3/2/15,10:35,,4.3
RG23_20150309_0915,RG23,3/9/15,9:15,,8.4
RG23_20150316_0830,RG23,3/16/15,8:30,,14.7
RG23_20150323_1030,RG23,3/23/15,10:30,,4.8
RG23_20150331_1000,RG23,3/31/15,10:00,,15.5
RG23_20150406_0930,RG23,4/6/15,9:30,,4.3
RG23_20150413_0910,RG23,4/13/15,9:10,,32.3
RG23_20150420_0840,RG23,4/20/15,8:40,,5.6
RG23_20150427_0745,RG23,4/27/15,7:45,,48.3
RG23_20150504_1040,RG23,5/4/15,10:40,,0
RG23_20150513_1305,RG23,5/13/15,13:05,,14.7
RG23_20150518_0955,RG23,5/18/15,9:55,,0
RG23_20150526_1305,RG23,5/26/15,13:05,,22.6
RG23_20150603_1230,RG23,6/3/15,12:30,,92.5
RG23_20150608_0830,RG23,6/8/15,8:30,,0.8
RG23_20150616_0830,RG23,6/16/15,8:30,,83.8
RG23_20150622_1020,RG23,6/22/15,10:20,,48.5
RG23_20150629_1005,RG23,6/29/15,10:05,,83.1
RG23_20150706_1105,RG23,7/6/15,11:05,,47.8
RG23_20150713_1130,RG23,7/13/15,11:30,,7.9
RG23_20150720_1245,RG23,7/20/15,12:45,,126.3
RG23_20150727_0845,RG23,7/27/15,8:45,,10.4
RG23_20150803_1140,RG23,8/3/15,11:40,,20.8
RG23_20150810_1215,RG23,8/10/15,12:15,,16.8
RG23_20150817_1235,RG23,8/17/15,12:35,,58.7
RG23_20150824_1120,RG23,8/24/15,11:20,,11.9
RG23_20150831_1020,RG23,8/31/15,10:20,,14.7
RG23_20150907_1110,RG23,9/7/15,11:10,,0
RG23_20150914_0855,RG23,9/14/15,8:55,,63.1
RG23_20150921_0905,RG23,9/21/15,9:05,,11.4
RG23_20150928_1005,RG23,9/28/15,10:05,,0
RG23_20151005_1000,RG23,10/5/15,10:00,,104.7
RG23_20151012_1020,RG23,10/12/15,10:20,,34.5
RG23_20151019_0930,RG23,10/19/15,9:30,,1.7
RG23_20151026_0930,RG23,10/26/15,9:30,,11.9
RG23_20151102_1035,RG23,11/2/15,10:35,,47.4
RG23_20151109_1035,RG23,11/9/15,10:35,,1.5
RG23_20151115_0905,RG23,11/15/15,9:05,,23.1
RG23_20151123_1025,RG23,11/23/15,10:25,,49.1
RG23_20151130_0845,RG23,11/30/15,8:45,,0
RG23_20151207_0955,RG23,12/7/15,9:55,,37.2
RG23_20151216_1045,RG23,12/16/15,10:45,,22.5
RG23_20151221_1100,RG23,12/21/15,11:00,,23.8
RG23_20151228_0955,RG23,12/28/15,9:55,,63
RG23_20160104_1100,RG23,1/4/16,11:00,,-3
RG23_20160111_1115,RG23,1/11/16,11:15,,53.6
RG23_20160119_1010,RG23,1/19/16,10:10,,26.4
RG23_20160125_1050,RG23,1/25/16,10:50,,0
RG23_20160201_1140,RG23,2/1/16,11:40,,2.5
RG23_20160208_1005,RG23,2/8/16,10:05,,29.5
RG23_20160215_1020,RG23,2/15/16,10:20,,16.3
RG23_20160222_1025,RG23,2/22/16,10:25,,64.8
RG23_20160229_0955,RG23,2/29/16,9:55,,72.9
RG23_20160307_1000,RG23,3/7/16,10:00,,24.6
RG23_20160314_0905,RG23,3/14/16,9:05,,28.7
RG23_20160322_0900,RG23,3/22/16,9:00,,24.4
RG23_20160330_0810,RG23,3/30/16,8:10,,35.3
RG23_20160405_1330,RG23,4/5/16,13:30,,9.7
RG23_20160413_0815,RG23,4/13/16,8:15,,54.9
RG23_20160418_0845,RG23,4/18/16,8:45,,0
RG23_20160425_0910,RG23,4/25/16,9:10,,5.8
RG23_20160503_0830,RG23,5/3/16,8:30,,50.5
RG23_20160509_1000,RG23,5/9/16,10:00,,14.7
RG23_20160516_0850,RG23,5/16/16,8:50,,30.7
RG23_20160523_0905,RG23,5/23/16,9:05,,10.7
RG23_20160531_0900,RG23,5/31/16,9:00,,7.4
RG23_20160606_0910,RG23,6/6/16,9:10,,69.3
RG23_20160613_0935,RG23,6/13/16,9:35,,7.1
RG23_20160620_1125,RG23,6/20/16,11:25,,6.1
RG23_20160627_0930,RG23,6/27/16,9:30,,9.9
RG23_20160705_1050,RG23,7/5/16,10:50,,50.8
RG23_20160711_1045,RG23,7/11/16,10:45,,31.5
RG23_20160717_1030,RG23,7/17/16,10:30,,25.1
RG23_20160725_1115,RG23,7/25/16,11:15,,12.4
RG23_20160801_1015,RG23,8/1/16,10:15,,1.3
RG23_20160808_1045,RG23,8/8/16,10:45,,6.4
RG23_20160815_1115,RG23,8/15/16,11:15,,81
RG23_20160822_0850,RG23,8/22/16,8:50,,43.9
RG23_20160829_0920,RG23,8/29/16,9:20,,11.9
RG23_20160906_0910,RG23,9/6/16,9:10,,0
RG23_20160912_0945,RG23,9/12/16,9:45,,21.3
RG23_20160920_0820,RG23,9/20/16,8:20,,14.7
RG23_20160927_0905,RG23,9/27/16,9:05,,16.3
RG23_20161003_1110,RG23,10/3/16,11:10,,1.5
RG23_20161011_0855,RG23,10/11/16,8:55,,5.3
RG23_20161017_1045,RG23,10/17/16,10:45,,11.9
RG23_20161024_0915,RG23,10/24/16,9:15,,58.4
RG23_20161031_1115,RG23,10/31/16,11:15,,64
RG23_20161107_1200,RG23,11/7/16,12:00,,28.2
RG23_20161114_1015,RG23,11/14/16,10:15,,1.5
RG23_20161121_1150,RG23,11/21/16,11:50,,30.5
RG23_20161128_1105,RG23,11/28/16,11:05,,12.7
RG23_20161205_1025,RG23,12/5/16,10:25,,68.6
RG23_20161212_1125,RG23,12/12/16,11:25,,37.3
RG23_20161219_1000,RG23,12/19/16,10:00,,40.1
RG23_20161227_1005,RG23,12/27/16,10:05,,17.3
RG23_20170102_1005,RG23,1/2/17,10:05,,31
RG23_20170109_1050,RG23,1/9/17,10:50,,21.6
RG23_20170117_1030,RG23,1/17/17,10:30,,19.3
RG23_20170123_0955,RG23,1/23/17,9:55,,14.2
RG23_20170130_0955,RG23,1/30/17,9:55,,21.6
RG23_20170206_0950,RG23,2/6/17,9:50,,6.4
RG23_20170214_0930,RG23,2/14/17,9:30,,71.1
RG23_20170221_0945,RG23,2/21/17,9:45,,33.3
RG23_20170228_0935,RG23,2/28/17,9:35,,21.1
RG23_20170306_0950,RG23,3/6/17,9:50,,20.1
RG23_20170313_0850,RG23,3/13/17,8:50,,12.7
RG23_20170320_0905,RG23,3/20/17,9:05,,33.8
RG23_20170328_0910,RG23,3/28/17,9:10,,35.6
RG23_20170403_0850,RG23,4/3/17,8:50,,51.1
RG23_20170410_1050,RG23,4/10/17,10:50,,67.6
RG23_20170417_1145,RG23,4/17/17,11:45,,19.3
RG23_20170424_0905,RG23,4/24/17,9:05,,31.5
RG23_20170501_0850,RG23,5/1/17,8:50,,20.8
RG23_20170508_0955,RG23,5/8/17,9:55,,54.6
RG23_20170515_0910,RG23,5/15/17,9:10,,41.1
RG23_20170523_0800,RG23,5/23/17,8:00,,18.8
RG23_20170530_0945,RG23,5/30/17,9:45,,42.7