Standardized Name,Units
site,NA
date,NA
timeEST,NA
pH,NA
DIC,uM/L
spCond,uS/cm
temp,C
gageHt,ft 
flowGageHt,L/s 
hydroGraph,NA
fieldCode,NA
notes,NA
ANCMet,ueq/L
pHmetrohm,NA
precipCatch,in
Ca,mg/L
Mg,mg/L
K,mg/L
Na,mg/L
TMAl,mg/L
OMAl,mg/L
Al_ICP,mg/L
NH4,mg/L
SO4,mg/L
NO3,mg/L
Cl,mg/L
PO4,mg/L
DOC,mg/L
TDN,mg/L
DON,mg/L
SiO2,mg/L
Mn,mg/L
Fe,mg/L
F,mg/L
cationCharge,NA
anionCharge,NA
theoryCond,NA
ionError,NA
ionBalance,
datetime,NA
uniqueID,NA
waterYr,NA
duplicate,NA
sampleType,NA
precipETI,
flowSensor,mm/hr